RANK,NAME,GENDER,STATUS,NATIONALITY,JOB,EDITS
1,George W. Bush,Male,Alive,American,Leader,45866
2,Michael Jackson,Male,Both,American,Musician,28160
3,Jesus,Male,Dead,Israeli,Leader,28099
4,Barack Obama,Male,Alive,American,Leader,24725
5,Adolf Hitler,Male,Dead,German,Leader,24630
6,Britney Spears,Female,Alive,American,Musician,23803
7,The Undertaker,Male,Alive,American,Wrestler,22149
8,Roger Federer,Male,Alive,Swiss,Athlete,20967
9,Kane (wrestler),Male,Alive,American,Wrestler,20326
10,Beyoncé,Female,Alive,American,Musician,19491
11,Muhammad,Male,Dead,Saudi,Leader,19379
12,Eminem,Male,Alive,American,Musician,18889
13,John Cena,Male,Alive,American,Wrestler,18084
14,Mariah Carey,Female,Alive,American,Musician,17753
15,Vijay (actor),Male,Alive,Indian,Actor,17736
16,Elvis Presley,Male,Dead,American,Musician,17675
17,Ronald Reagan,Male,Dead,American,Leader,17330
18,Paul McCartney,Male,Alive,British,Musician,17322
19,Christina Aguilera,Female,Alive,American,Musician,16814
20,Madonna (entertainer),Female,Alive,American,Musician,16718
21,Edge (wrestler),Male,Alive,Canadian,Wrestler,16297
22,Pope John Paul II,Male,Both,Polish,Leader,16242
23,Triple H,Male,Alive,American,Wrestler,15973
24,Albert Einstein,Male,Dead,Swiss,Scientist,15696
25,Thomas Jefferson,Male,Dead,American,Leader,15543
26,Abraham Lincoln,Male,Dead,American,Leader,15248
27,Bill Clinton,Male,Alive,American,Leader,15214
28,Kelly Clarkson,Female,Alive,American,Musician,15205
29,Dwayne Johnson,Male,Alive,American,Wrestler,14979
30,Bob Dylan,Male,Alive,American,Musician,14680
31,Sarah Palin,Female,Alive,American,Leader,14563
32,John Kerry,Male,Alive,American,Leader,14486
33,Rey Mysterio,Male,Alive,American,Wrestler,14306
34,Joseph Smith,Male,Dead,American,Leader,14114
35,Rihanna,Female,Alive,Barbadian,Musician,14077
36,Hilary Duff,Female,Alive,American,Actor,14051
37,Joseph Stalin,Male,Dead,Russian,Leader,14001
38,George Washington,Male,Dead,American,Leader,13717
39,Lionel Messi,Male,Alive,Argentine,Athlete,13696
40,Pope Benedict XVI,Male,Alive,German,Leader,13692
41,Diana Princess of Wales,Female,Dead,British,Leader,13688
42,Osama bin Laden,Male,Both,Saudi,Leader,13657
