Rank,Name,Count
1,Noah,"4,525"
2,Oliver,"4,167"
3,George,"4,141"
4,Arthur,"3,766"
5,Muhammad,"3,722"
6,Leo,"3,465"
7,Harry,"3,089"
8,Oscar,"3,071"
9,Archie,"2,928"
10,Henry,"2,912"
11,Theodore,"2,889"
12,Freddie,"2,873"
13,Jack,"2,847"
14,Charlie,"2,674"
15,Theo,"2,514"
16,Alfie,"2,338"
17,Jacob,"2,319"
18,Thomas,"2,302"
19,Finley,"2,283"
20,Arlo,"2,154"
21,William,"2,093"
22,Lucas,"1,965"
23,Roman,"1,923"
24,Tommy,"1,901"
25,Isaac,"1,888"
26,Teddy,"1,875"
27,Alexander,"1,830"
28,Luca,"1,807"
29,Edward,"1,806"
30,James,"1,772"
31,Joshua,"1,737"
32,Albie,"1,729"
33,Elijah,"1,657"
34,Max,"1,650"
35,Mohammed,"1,619"
36,Reuben,"1,534"
37,Mason,"1,517"
38,Sebastian,"1,516"
39,Rory,"1,483"
40,Jude,"1,482"
41,Louie,"1,461"
42,Benjamin,"1,423"
43,Ethan,"1,398"
44,Adam,"1,367"
45,Hugo,"1,325"
46,Joseph,"1,307"
47,Reggie,"1,287"
48,Ronnie,"1,285"
49,Harrison,"1,254"
50,Louis,"1,240"
51,Ezra,"1,226"
52,Jaxon,"1,210"
53,Logan,"1,192"
54,Daniel,"1,150"
55,Zachary,"1,146"
56,Samuel,"1,123"
57,Dylan,"1,099"
58,Albert,"1,091"
59,Hudson,"1,069"
60,Hunter,"1,042"
61,Frederick,"1,017"
62,David,961
63,Rowan,938
64,Jesse,929
65,Frankie,920
66,Toby,918
67,Oakley,908
68,Grayson,903
69,Carter,825
70,Riley,817
71,Felix,807
72,Finn,788
73,Bobby,772
74,Blake,771
75,Sonny,762
76,Caleb,758
77,Gabriel,749
77,Michael,749
79,Jasper,742
80,Alfred,739
81,Otis,737
82,Stanley,724
83,Milo,719
83,Mohammad,719
85,Ralph,692
86,Liam,690
87,Chester,680
88,Ellis,670
89,Elliot,664
90,Brody,645
91,Charles,639
91,Kai,639
93,Rupert,631
94,Yusuf,628
95,Harvey,627
96,Ollie,613
97,Jackson,607
98,Tobias,596
99,Nathan,595
100,Myles,592
101,Leon,590
102,Ibrahim,580
103,Jenson,579
104,Jayden,576
105,Eli,570
106,Ryan,569
107,Elliott,564
108,Jake,553
109,Elias,547
110,Ruben,540
111,Miles,533
111,Musa,533
113,Beau,507
114,Dominic,504
115,Harley,501
116,Leonardo,498
117,Luke,496
118,Jax,485
119,Aaron,481
119,Austin,481
121,Vinnie,477
122,Alex,474
123,Matthew,472
124,Aiden,469
125,Patrick,456
126,Cody,449
126,Joey,449
128,Billy,446
129,Marley,444
130,Robin,443
131,River,442
132,Eric,437
133,Dexter,427
134,Vincent,425
135,Jaxson,420
136,Jonah,419
136,Lewis,419
138,Axel,411
139,Levi,408
140,Bodhi,404
141,Ali,399
142,Rex,396
143,Parker,395
144,Robert,394
145,Cooper,393
146,Ayaan,390
147,Wilfred,388
148,Remy,385
149,Owen,384
150,Brodie,381
151,Enzo,380
152,Yahya,377
153,Lenny,373
154,John,359
155,Tyler,358
156,Muhammed,354
157,Nathaniel,346
158,Evan,343
159,Jamie,342
160,Zakariya,334
161,Kit,332
162,Otto,326
163,Maxwell,325
164,Lincoln,324
164,Phoenix,324
166,Nicholas,321
167,Zayn,320
168,Lorenzo,319
168,Maximilian,319
168,Sidney,319
171,Idris,317
172,Isaiah,316
173,Joel,310
174,Archer,308
174,Xander,308
176,Asher,305
177,Seth,302
178,Abel,301
