Rank,Name,Count
1,Olivia,"3,649"
2,Amelia,"3,164"
3,Isla,"2,683"
4,Ava,"2,576"
5,Ivy,"2,245"
6,Freya,"2,187"
7,Lily,"2,182"
8,Florence,"2,180"
9,Mia,"2,168"
10,Willow,"2,067"
11,Rosie,"2,028"
12,Sophia,"2,019"
13,Isabella,"2,010"
14,Grace,"1,992"
15,Daisy,"1,873"
16,Sienna,"1,869"
17,Poppy,"1,841"
18,Elsie,"1,840"
19,Emily,"1,797"
20,Ella,"1,756"
21,Evelyn,"1,729"
22,Phoebe,"1,678"
23,Sofia,"1,671"
24,Evie,"1,670"
25,Charlotte,"1,654"
26,Harper,"1,480"
27,Millie,"1,472"
28,Matilda,"1,437"
29,Maya,"1,433"
30,Sophie,"1,375"
31,Alice,"1,359"
32,Emilia,"1,353"
33,Isabelle,"1,304"
34,Ruby,"1,300"
35,Luna,"1,261"
36,Maisie,"1,229"
37,Aria,"1,202"
38,Penelope,"1,194"
39,Mila,"1,133"
40,Bonnie,"1,121"
41,Eva,"1,091"
42,Hallie,"1,070"
43,Eliza,"1,064"
44,Ada,"1,058"
45,Violet,"1,057"
46,Esme,"1,013"
47,Arabella,"1,012"
48,Imogen,998
49,Jessica,997
50,Delilah,981
51,Lottie,954
52,Chloe,932
53,Layla,917
53,Thea,917
55,Eleanor,915
56,Aurora,910
57,Margot,892
58,Mabel,885
59,Erin,884
60,Elizabeth,862
61,Emma,860
62,Scarlett,858
63,Harriet,810
64,Lola,807
65,Nancy,797
66,Orla,794
67,Ayla,793
68,Rose,787
69,Zara,773
70,Iris,746
71,Robyn,739
72,Bella,730
73,Molly,729
74,Olive,691
75,Maria,682
76,Lyla,667
77,Maeve,654
78,Ellie,638
79,Gracie,632
80,Lyra,630
81,Darcie,623
82,Maryam,621
83,Edith,613
84,Heidi,610
85,Lucy,607
86,Myla,602
87,Amelie,598
88,Amber,594
89,Hannah,588
90,Summer,586
91,Eden,585
92,Jasmine,583
93,Elodie,576
94,Clara,574
95,Holly,568
96,Lilly,551
97,Anna,545
98,Lara,539
99,Beatrice,515
100,Sara,511
101,Nellie,506
101,Nova,506
103,Martha,505
104,Georgia,501
105,Abigail,494
106,Eloise,492
107,Nevaeh,488
108,Autumn,481
109,Annabelle,468
110,Francesca,466
111,Frankie,460
112,Annie,457
113,Maddison,452
114,Indie,450
115,Edie,446
116,Ophelia,433
116,Zoe,433
118,Ottilie,430
119,Amaya,423
119,River,423
121,Aisha,414
122,Marnie,409
123,Felicity,406
123,Nora,406
125,Hope,403
125,Sarah,403
127,Victoria,401
128,Esmae,398
128,Pippa,398
130,Fatima,397
131,Anaya,396
132,Aaliyah,385
133,Isabel,374
133,Mollie,374
135,Anastasia,369
136,Niamh,362
137,Nina,360
138,Cleo,359
138,Julia,359
140,Lydia,358
141,Savannah,355
142,Ariana,354
142,Gabriella,354
142,Harlow,354
145,Alba,352
146,Darcy,351
147,Darcey,350
147,Hazel,350
149,Cora,349
150,Leah,346
151,Arya,344
152,Elena,343
152,Rosa,343
154,Connie,338
154,Sadie,338
156,Polly,337
157,Paisley,330
158,Amira,327
159,Skylar,325
160,Isobel,324
161,Alexandra,318
162,Primrose,315
162,Tilly,315
164,Beatrix,314
165,Naomi,313
166,Esther,311
167,Skye,309
168,Madison,308
168,Piper,308
170,Zainab,307
171,Lilah,299
172,Callie,296
173,Amara,293
174,Remi,292
175,Clementine,290
175,Faith,290
177,Dorothy,289
178,Penny,288
179,Betsy,286
180,Laura,284
181,Eve,281
182,Lexi,280
182,Mya,280
184,Wren,279
185,Athena,277
185,Zoya,277
187,Maggie,276
188,Liyana,272
189,Eliana,270
190,Aoife,269
190,Everly,269
190,Zahra,269
193,Khadija,268
194,Ayda,267
195,Ayat,266
196,Ayah,265
197,Ariella,264
197,Lillie,264
199,Etta,263
200,Hattie,257
201,Effie,254
202,Paige,252
203,Raya,251
204,Aurelia,250
204,Winnie,250
206,Nola,249
207,Riley,246
208,Liliana,245
209,Alana,244
210,Maia,243
211,Alyssa,240
212,Nyla,236
213,India,235
214,Aubrey,231
214,Hana,231
214,Hanna,231
217,Emmie,230
218,Lena,229
218,Seren,229
220,Flora,227
221,Maeva,226
222,Dua,225
222,Hollie,225
224,Lucia,224
